Id;ResourceName;Name;HasBmpCollection;HasBmpItem;HasAct
1101;소드;Sword;True;True;True
1102;소드;Sword;True;True;True
1103;소드;Sword;True;True;True
1104;폴쳔;Falchion;True;True;True
1105;폴쳔;Falchion;True;True;True
1106;폴쳔;Falchion;True;True;True
1107;블레이드;Blade;True;True;True
1108;블레이드;Blade;True;True;True
1109;블레이드;Blade;True;True;True
1110;레이피어;Rapier;True;True;True
1111;레이피어;Rapier;True;True;True
1112;레이피어;Rapier;True;True;True
1113;시미터;Scimitar;True;True;True
1114;시미터;Scimitar;True;True;True
1115;시미터;Scimitar;True;True;True
1116;카타나;Katana;True;True;True
1117;카타나;Katana;True;True;True
1118;카타나;Katana;True;True;True
1119;츠루기;Tsurugi;True;True;True
1120;츠루기;Tsurugi;True;True;True
1121;츠루기;Tsurugi;True;True;True
1122;환두태도;Ring Pommel Saber;True;True;True
1123;해동검;Haedong Gum;True;True;True
1124;오키쉬소드;Orcish Sword;True;True;True
1125;환두태도;Ring Pommel Saber;True;True;True
1126;세이버;Saber;True;True;True
1127;세이버;Saber;True;True;True
1128;해동검;Haedong Gum;True;True;True
1129;프람베르그;Flamberge;True;True;True
1130;네이건;Nagan;True;True;True
1131;아이스팔시온;Ice Falchion;True;True;True
1132;엣지;Edge;True;True;True
1133;화이어브랜드;Fire Brand;True;True;True
1134;시저즈소드;Scissor Sword;True;True;True
1135;커틀러스;Cutlus;True;True;True
1136;태양검;Solar Sword;True;True;True
1137;엑스칼리버;Excalibur;True;True;True
1138;미스틸테인;Mysteltainn;True;True;True
1139;테일핑;Tirfing;True;True;True
1140;별운검;Byeollungum;True;True;True
1141;무형검;Immaterial Sword;True;True;True
1142;쥬얼소드;Jewel Sword;True;True;True
1143;가이아소드;Gaia Sword;True;True;True
1144;사시미;Sashimi;True;True;True
1145;홀리어벤져;Holy Avenger;True;True;True
1146;타운소드;Town Sword;True;True;True
1147;타운소드;Town Sword;True;True;True
1148;스타블레이드;Star Dust Blade;True;True;True
1149;프람베르그;Flamberge;True;True;True
1151;슬레이어;Slayer;True;True;True
1152;슬레이어;Slayer;True;True;True
1153;슬레이어;Slayer;True;True;True
1154;바스타드소드;Bastard Sword;True;True;True
1155;바스타드소드;Bastard Sword;True;True;True
1156;바스타드소드;Bastard Sword;True;True;True
1157;투핸드소드;Two-Handed Sword;True;True;True
1158;투핸드소드;Two-Handed Sword;True;True;True
1159;투핸드소드;Two-Handed Sword;True;True;True
1160;브로드소드;Broad Sword;True;True;True
1161;발뭉;Balmung;True;True;True
1162;브로드소드;Broad Sword;True;True;True
1163;크레이모어;Claymore;True;True;True
1164;무라마사;Muramasa;True;True;True
1165;마사무네;Masamune;True;True;True
1166;드래곤슬레이어;Dragon Slayer;True;True;True
1167;슈바이체르샤벨;Schweizersabel;True;True;True
1168;즈바이핸더;Zweihander;True;True;True
1169;액서큐셔너;Executioner;True;True;True
1170;카츠발게르;Katzbalger;True;True;True
1171;즈바이핸더;Zweihander;True;True;True
1172;크레이모어;Claymore;True;True;True
1173;무라마사;Muramasa;True;True;True
1174;액서큐셔너;Executioner;True;True;True
1175;아트로스의흉기;Atroce Weapon;True;True;True
1176;근육절단기;Muscle Cutter;True;True;True
1177;무라마사;Muramash;True;True;True
1178;슈바이체르샤벨;Schweizersabel;True;True;True
1179;액서큐셔너;Executioner;True;True;True
1180;드래곤슬레이어;Dragon Slayer;True;True;True
1181;태구련;Tae Goo Lyeon;True;True;True
1182;블러디이터;Bloody Eater;True;True;True
1183;카츠발게르;Brave Assaulter's Katzbalger;True;True;True
1184;카츠발게르;Valorous Assaulter's Katzbalger;True;True;True
1185;바이올렛피어;Violet Fear;True;True;True
1186;죽음의인도자;Death Guidance;True;True;True
1187;크레이모어;Glorious Claymore;True;True;True
1188;베테랑소드;Veteran Sword;True;True;True
1189;크라스나야;Krasnaya;True;True;True
1190;크레이모어;Claymore;True;True;True
1191;알카브링거;Alca Bringer;True;True;True
1192;브로드소드;Eden Slayer I;True;True;True
1193;카츠발게르;Eden Slayer II;True;True;True
1194;액서큐셔너;Executioner;True;True;True
1196;크롬메탈투핸드소드;Chrome Metal Two-Handed Sword;True;True;True
1197;크레이모어;Eden Slayer III;True;True;True
1198;갈치;Hairtail;True;True;True
1201;나이프;Knife;True;True;True
1202;나이프;Knife;True;True;True
1203;나이프;Knife;True;True;True
1204;커터;Cutter;True;True;True
1205;커터;Cutter;True;True;True
1206;커터;Cutter;True;True;True
1207;망고슈;Main Gauche;True;True;True
1208;망고슈;Main Gauche;True;True;True
1209;망고슈;Main Gauche;True;True;True
1210;더크;Dirk;True;True;True
1211;더크;Dirk;True;True;True
1212;더크;Dirk;True;True;True
1213;대거;Dagger;True;True;True
1214;대거;Dagger;True;True;True
1215;대거;Dagger;True;True;True
1216;스틸레토;Stiletto;True;True;True
1217;스틸레토;Stiletto;True;True;True
1218;스틸레토;Stiletto;True;True;True
1219;그라디우스;Gladius;True;True;True
1220;그라디우스;Gladius;True;True;True
1221;그라디우스;Gladius;True;True;True
1222;다마스커스;Damascus;True;True;True
1223;포츈소드;Fortune Sword;True;True;True
1224;소드브레이커;Swordbreaker;True;True;True
1225;메일브레이커;Mailbreaker;True;True;True
1226;다마스커스;Damascus;True;True;True
1227;위더나이프;Weeder Knife;True;True;True
1228;컴뱃나이프;Combat Knife;True;True;True
1229;식칼;Kitchen Knife;True;True;True
1230;송곳;Ice pick;True;True;True
1231;바제랄드;Bazerald;True;True;True
1232;어새신대거;Assassin Dagger;True;True;True
1233;액서사이즈;Exorciser;True;True;True
1234;월광검;Moonlight Sword;True;True;True
1235;아조스;Azoth;True;True;True
1236;수크사마드;Sucsamad;True;True;True
1237;그림투스;Grimtooth;True;True;True
1238;제니나이프;Zeny Knife;True;True;True
1239;포이즌나이프;Poison Knife;True;True;True
1240;프린세스나이프;Princess Knife;True;True;True
1241;저주받은단검;Cursed Dagger;True;True;True
1242;카운터단검;Dagger of Counter;True;True;True
1243;망고슈;Novice Main-Gauche;True;True;True
1244;홀리대거;Holy Dagger;True;True;True
1245;친퀘디아;Cinquedea;True;True;True
1246;친퀘디아;Cinquedea;True;True;True
1247;불쏘시개단검;Kindle Dagger;True;True;True
1248;흑요석단검;Obsidian Dagger;True;True;True
1249;어부의단검;Fisherman's Dagger;True;True;True
1250;쥬르;Jur;True;True;True
1251;쥬르;Jur;True;True;True
1252;카타르;Katar;True;True;True
1253;카타르;Katar;True;True;True
1254;자마다르;Jamadhar;True;True;True
1255;자마다르;Jamadhar;True;True;True
1256;물의카타르;Katar of Cold Icicle;True;True;True
1257;땅의카타르;Katar of Dusty Thornbush;True;True;True
1258;불의카타르;Katar of Raging Blaze;True;True;True
1259;바람의카타르;Katar of Piercing Wind;True;True;True
1260;언데드의카타르;Sharpened Leg Bone of Ghoul;True;True;True
1261;등뒤를베는자;Infiltrator;True;True;True
1262;로키의손톱;Loki's Nail;True;True;True
1263;언홀리터치;Unholy Touch;True;True;True
1264;바리어스쥬르;Various Jur;True;True;True
1265;블러디로어;Bloody Roar;True;True;True
1266;등뒤를베는자;Infiltrator;True;True;True
1267;등뒤를베는자;Infiltrator;True;True;True
1268;야수의발톱;Wild Beast Claw;True;True;True
1269;인버스스케어;Inverse Scale;True;True;True
1270;드릴카타르;Drill Katar;True;True;True
1271;혈루;Bloody Tears;True;True;True
1272;등뒤를베는자;Scratcher;True;True;True
1273;블러디로어;Bloody Roar;True;True;True
1274;언홀리터치;Unholy Touch;True;True;True
1275;물의카타르;Katar of Cold Icicle;True;True;True
1276;땅의카타르;Katar of Dusty Thornbush;True;True;True
1277;불의카타르;Katar of Raging Blaze;True;True;True
1278;바람의카타르;Katar of Piercing Wind;True;True;True
1279;혈루;Brave Carnage Katar;True;True;True
1280;혈루;Valorous Carnage Katar;True;True;True
1281;블러디로어;Glorious Bloody Roar;True;True;True
1282;자마다르;Glorious Jamadhar;True;True;True
1283;로키의손톱;Katar of Speed;True;True;True
1284;크리슈나;Krishna;True;True;True
1285;차크람;Chakram;True;True;True
1286;자마다르;Jamadhar;True;True;True
1287;두르가;Durga;True;True;True
1288;혈루;Bloody Fear;True;True;True
1289;로키의손톱;Eden Katar I;True;True;True
1290;에이전트카타르;Agent Katar;True;True;True
1291;길로틴카타르;Guillotine Katar;True;True;True
1292;강화카타르;Upgrade Katar;True;True;True
1293;혈루;Bellum Jamadhar;True;True;True
1294;야수의발톱;Bellum Scale;True;True;True
1295;혈루;Bloody Tears;True;True;True
1296;메탈카타르;Metal Katar;True;True;True
1297;인버스스케어;Inverse Scale;True;True;True
1298;전율의카타르;Katar of Shiver;True;True;True
1299;카타르;TE WoE Katar;True;True;True
1300;클리버;Cleaver;True;True;True
1301;액스;Axe;True;True;True
1302;액스;Axe;True;True;True
1303;액스;Axe;True;True;True
1304;오키쉬액스;Orcish Axe;True;True;True
1305;클리버;Cleaver;True;True;True
1306;워액스;War Axe;True;True;True
1307;윈드호크;Windhawk;True;True;True
1308;금도끼;Golden Axe;True;True;True
1309;오키쉬액스;Orcish Axe;True;True;True
1310;클리버;Glorious Cleaver;True;True;True
1311;베체르액스;Vecer Axe;True;True;True
1312;오키쉬액스;Orcish Axe;True;True;True
1313;액스;Traveler's Axe;True;True;True
1314;토마호크;Tomahawk;True;True;True
1315;라이트엡실론;Light Epsilon;True;True;True
1317;버스터;Academy Axe;True;True;True
1318;도플레의도끼;Dofle Axe;True;True;True
1319;액스;TE WoE Axe;True;True;True
1321;도플레의도끼;Dofle Axe;True;True;True
1322;서늘한도끼;Blue Axe;True;True;True
1323;빛나는도끼;Ru Gold Axe;True;True;True
1324;워액스;War Axe;True;True;True
1326;War_Axe_IL;Illusion War Axe;True;True;True
1333;Golden_Wrench;Golden Wrench;True;True;True
1336;G_Knight_Axe;Guardian Knight Axe;True;True;True
1351;배틀액스;Battle Axe;True;True;True
1352;배틀액스;Battle Axe;True;True;True
1353;배틀액스;Battle Axe;True;True;True
1354;워해머;Hammer;True;True;True
1355;워해머;Hammer;True;True;True
1356;워해머;Hammer;True;True;True
1357;버스터;Buster;True;True;True
1358;버스터;Buster;True;True;True
1359;버스터;Buster;True;True;True
1360;투핸드액스;Two-Handed Axe;True;True;True
1361;투핸드액스;Two-Handed Axe;True;True;True
1362;투핸드액스;Two-Handed Axe;True;True;True
1363;블러드액스;Bloody Axe;True;True;True
1364;그레이트액스;Great Axe;True;True;True
1365;새버스;Sabbath;True;True;True
1366;라이트엡실론;Light Epsilon;True;True;True
1367;슬러터;Slaughter;True;True;True
1368;토마호크;Tomahawk;True;True;True
1369;길로틴;Guillotine;True;True;True
1370;둠슬레이어;Doom Slayer;True;True;True
1371;둠슬레이어;Doom Slayer;True;True;True
1372;라이트엡실론;Light Epsilon;True;True;True
1373;블러드액스;Refined Bloody Axe;True;True;True
1374;토마호크;Tomahawk;True;True;True
1375;버디슈;Berdysz;True;True;True
1376;하트브레이커;Heart Breaker;True;True;True
1377;허리케인퓨리;Hurricane Fury;True;True;True
1378;그레이트액스;Refined Great Axe;True;True;True
1379;배틀액스;Valorous Insane Battle Axe;True;True;True
1380;배틀액스;Brave Insane Battle Axe;True;True;True
1381;배틀액스;Novice Battle Axe;True;True;True
1382;투핸드액스;Glorious Two-Handed Axe;True;True;True
1383;성천도끼;Holy Celestial Axe;True;True;True
1384;베테랑액스;Veteran Axe;True;True;True
1385;브라디움돌망치;Bradium Stone Hammer;True;True;True
1386;둠슬레이어;Doom Slayer;True;True;True
1387;기간트액스;Giant Axe;True;True;True
1388;투핸드액스;Two-Handed Axe;True;True;True
1389;토마호크;Tomahawk;True;True;True
1390;라이트엡실론;Light Epsilon;True;True;True
1391;버디슈;Eden Two-Handed Axe I;True;True;True
1392;이그누스스테일;Ygnus Stale;True;True;True
1393;엔드세크투라;End Sektura;True;True;True
1394;강화투핸드액스;Upgrade Two-Handed Axe;True;True;True
1395;워액스;Bellum Buster;True;True;True
1396;길로틴;Bellum Guillotine;True;True;True
1397;브라디움돌망치;Bradium Stone Hammer;True;True;True
1398;메탈투핸드액스;Metal Two-Handed Axe;True;True;True
1399;투핸드액스;TE WoE Two-Handed Axe;True;True;True
1400;사념의스피어;Vicious Mind Spear;True;True;True
1401;쟈벨린;Javelin;True;True;True
1402;쟈벨린;Javelin;True;True;True
1403;쟈벨린;Javelin;True;True;True
1404;스피어;Spear;True;True;True
1405;스피어;Spear;True;True;True
1406;스피어;Spear;True;True;True
1407;파이크;Pike;True;True;True
1408;파이크;Pike;True;True;True
1409;파이크;Pike;True;True;True
1410;랜스;Lance;True;True;True
1411;랜스;Lance;True;True;True
1412;랜스;Lance;True;True;True
1413;궁그닐;Gungnir;True;True;True
1414;겔러드리아;Gelerdria;True;True;True
1415;꼬챙이;Brocca;True;True;True
1416;튱클레티;Tjungkuletti;True;True;True
1417;폴액스;Pole Axe;True;True;True
1418;궁그닐;Gungnir;True;True;True
1419;폴액스;Pole Axe;True;True;True
1420;롱혼;Long Horn;True;True;True
1421;배틀훅;Battle Hook;True;True;True
1422;헌팅스피어;Hunting Spear;True;True;True
1423;폴액스;Pole XO;True;True;True
1424;꼬챙이;Refined Brocca;True;True;True
1425;스피어;Assaulter Spear;True;True;True
1426;스피어;Glorious Spear;True;True;True
1427;롱기누스의창;Spear of Excellent;True;True;True
1428;롱혼;Long Horn;True;True;True
1429;헌팅스피어;Hunting Spear;True;True;True
1430;파이크;Pike;True;True;True
1431;폴액스;Pole Axe;True;True;True
1432;폴액스;Pole Axe;True;True;True
1433;임페리얼스피어;Imperial Spear;True;True;True
1434;가에볼그;Eden Spear I;True;True;True
1435;캐논스피어;Cannon Spear;True;True;True
1436;랜스;Bellum Spear;True;True;True
1437;파이크;TE WoE Pike;True;True;True
1438;타노스의창;Thanos Spear;True;True;True
1440;배틀훅;Battle Hook;True;True;True
1441;서늘한창;Blue Spear;True;True;True
1442;빛나는창;Ru Gold Spear;True;True;True
1443;진홍의스피어;Crimson Spear;True;True;True
1445;Overfishing_Spear;Rental Warrior Spear;True;True;True
1446;타노스의창;Requiem Spear;True;True;True
1447;독으로벼린창;Poisonous Violence Spear;True;True;True
1448;무쌍창;Warrior Spear;True;True;True
1449;겔러드리아;Gelerdria;True;True;True
1450;사념의랜스;Vicious Mind Lance;True;True;True
1451;귀삼;Guisarme;True;True;True
1452;귀삼;Guisarme;True;True;True
1453;귀삼;Guisarme;True;True;True
1454;글레이브;Glaive;True;True;True
1455;글레이브;Glaive;True;True;True
1456;글레이브;Glaive;True;True;True
1457;파티잔;Partizan;True;True;True
1458;파티잔;Partizan;True;True;True
1459;파티잔;Partizan;True;True;True
1460;트라이던트;Trident;True;True;True
1461;트라이던트;Trident;True;True;True
1462;트라이던트;Trident;True;True;True
1463;핼버드;Hallberd;True;True;True
1464;핼버드;Hallberd;True;True;True
1465;핼버드;Hallberd;True;True;True
1466;크레센트사이더;Crescent Scythe;True;True;True
1467;빌귀삼;Bill Guisarme;True;True;True
1468;제퓨로스;Zephyrus;True;True;True
1469;롱기누스의창;Longinus's Spear;True;True;True
1470;브류나크;Brionac;True;True;True
1471;헬파이어;Hellfire;True;True;True
1472;스태프오브소울;Soul Staff;True;True;True
1473;위자드리스태프;Wizardry Staff;True;True;True
1474;가에볼그;Gae Bolg;True;True;True
1475;마상창;Equestrian's Spear;True;True;True
1476;크레센트사이더;Crescent Scythe;True;True;True
1477;요괴의창;Spectral Spear;True;True;True
1478;알슈피스;Ahlspiess;True;True;True
1479;요괴의창;Spectral Spear;True;True;True
1480;가에볼그;Gae Bolg;True;True;True
1481;제퓨로스;Zephyrus;True;True;True
1482;랜스;Assaulter Lance;True;True;True
1483;아이보리랜스;Ivory Lance;True;True;True
1484;카르도;Cardo;True;True;True
1485;배틀포크;Battle Fork;True;True;True
1486;랜스;Glorious Lance;True;True;True
1487;랜스;Lance;True;True;True
1488;알슈피스;Ahlspiess;True;True;True
1489;청새치_;Marlin;True;True;True
1490;기간트랜스;Giant Lance;True;True;True
1491;강화랜스;Upgrade Two-Handed Spear;True;True;True
1492;글레이브;Bellum Glaive;True;True;True
1493;메탈랜스;Metal Lance;True;True;True
1494;운디네의창;Undine Spear;True;True;True
1495;랜스;TE WoE Lance;True;True;True
1496;타노스의양손창;Thanos Two-Handed Spear;True;True;True
1497;헬파이어;Hellfire;True;True;True
1498;진홍의랜스;Crimson Lance;True;True;True
1499;타노스의양손창;Requiem Lance;True;True;True
1501;클럽;Club;True;True;True
1502;클럽;Club;True;True;True
1503;클럽;Club;True;True;True
1504;메이스;Mace;True;True;True
1505;메이스;Mace;True;True;True
1506;메이스;Mace;True;True;True
1507;스매셔;Smasher;True;True;True
1508;스매셔;Smasher;True;True;True
1509;스매셔;Smasher;True;True;True
1510;플레일;Flail;True;True;True
1511;플레일;Flail;True;True;True
1512;플레일;Flail;True;True;True
1513;모닝스타;Morning Star;True;True;True
1514;모닝스타;Morning Star;True;True;True
1515;모닝스타;Morning Star;True;True;True
1516;소드메이스;Sword Mace;True;True;True
1517;소드메이스;Sword Mace;True;True;True
1518;소드메이스;Sword Mace;True;True;True
1519;체인;Chain;True;True;True
1520;체인;Chain;True;True;True
1521;체인;Chain;True;True;True
1522;스터너;Stunner;True;True;True
1523;스파이크;Spike;True;True;True
1524;골든메이스;Golden Mace;True;True;True
1525;롱메이스;Long Mace;True;True;True
1526;슬래쉬;Slash;True;True;True
1527;쿼드릴;Quadrille;True;True;True
1528;그랜드크로스;Grand Cross;True;True;True
1529;아이언드라이버;Iron Driver;True;True;True
1530;묘르닐;Mjolnir;True;True;True
1531;스패너;Wrench;True;True;True
1532;스터너;Stunner;True;True;True
1533;발뭉;Warrior's Balmung;True;True;True
1534;스패너;Wrench;True;True;True
1535;홀그랜제련망치;Hollgrehenn's Hammer;True;True;True
1536;모닝스타;Good Morning Star;True;True;True
1537;쿼드릴;Refined Quadrille;True;True;True
1538;스파이크;Spike;True;True;True
1539;골든메이스;Golden Mace;True;True;True
1540;그랜드크로스;Grand Cross;True;True;True
1541;네메시스;Nemesis;True;True;True
1542;모닝스타;Valorous Battlefield Morning Star;True;True;True
1543;모닝스타;Brave Battlefield Morning Star;True;True;True
1544;루나칼리고;Lunakaligo;True;True;True
1545;메이스;Novice Mace;True;True;True
1546;플레일;Glorious Morning Star;True;True;True
1547;스파이크;Mace of Madness;True;True;True
1548;베테랑햄머;Veteran Hammer;True;True;True
1549;파일벙커;Pile Bunker;True;True;True
1550;북;Book;True;True;True
1551;바이블;Bible;True;True;True
1552;타블렛;Tablet;True;True;True
1553;물의책;Book of Billows;True;True;True
1554;땅의책;Book of Mother Earth;True;True;True
1555;불의책;Book of Blazing Sun;True;True;True
1556;바람의책;Book of Gust of Wind;True;True;True
1557;묵시록;Book of Apocalypse;True;True;True
1558;소녀의일기장;Girl's Diary;True;True;True
1559;드래곤의유산;Legacy of Dragon;True;True;True
1560;현자의일기;Sage's Diary;True;True;True
1561;양장본;Hardcover Book;True;True;True
1562;전장의서;Battlefield Textbook;True;True;True
1563;현자의일기;Sage's Diary;True;True;True
1564;대백과사전;Encyclopedia;True;True;True
1565;사신의명부;Death Note;True;True;True
1566;현자의일기;Diary of Great Basil;True;True;True
1567;양장본;Refined Hardcover Book;True;True;True
1568;물의책;Book of Billows;True;True;True
1569;땅의책;Book of Mother Earth;True;True;True
1570;불의책;Book of Blazing Sun;True;True;True
1571;바람의책;Book of Gust of Wind;True;True;True
1572;마법의정석;Principles of Magic;True;True;True
1573;고대의마법;Ancient Magic;True;True;True
1574;바이블;Brave Battle Strategy Book;True;True;True
1575;바이블;Valorous Battle Strategy Book;True;True;True
1576;타블렛;Glorious Tablet;True;True;True
1577;묵시록;Glorious Apocalypse;True;True;True
1578;바이블;Book of Prayer;True;True;True
1579;사신의명부;Book of The Dead;True;True;True
1580;대백과사전;Giant Encyclopedia;True;True;True
1581;현자의일기;Diary of Great Sage;True;True;True
1582;현자의일기;Diary of Great Sage;True;True;True
1583;메모라이즈북;Eden Dictionary I;True;True;True
1584;냉기의마법서;Chilly Spell Book;True;True;True
1585;강화북;Upgrade Book;True;True;True
1586;사신의명부;Bellum Bible;True;True;True
1587;대백과사전;Bellum Encyclopedia;True;True;True
1588;메탈북;Metal Book;True;True;True
1589;드래곤의유산;Legacy of Dragon;True;True;True
1590;뱀백과사전;Snake Encyclopedia;True;True;True
1591;북;TE WoE Book;True;True;True
