Id;ResourceName;Name;HasBmpCollection;HasBmpItem;HasAct
500;금광석;Choco Gangjeong;;;;
501;빨간포션;Red Potion;;;;
502;주홍포션;Orange Potion;;;;
503;노란포션;Yellow Potion;;;;
504;하얀포션;White Potion;;;;
505;파란포션;Blue Potion;;;;
506;초록포션;Green Potion;;;;
507;빨간허브;Red Herb;;;;
508;노란허브;Yellow Herb;;;;
509;하얀허브;White Herb;;;;
510;파란허브;Blue Herb;;;;
511;초록허브;Green Herb;;;;
512;사과;Apple;;;;
513;바나나;Banana;;;;
514;포도;Grape;;;;
515;당근;Carrot;;;;
516;고구마;Potato;;;;
517;고기;Meat;;;;
518;꿀;Honey;;;;
519;우유;Milk;;;;
520;히나레의잎사귀;Hinalle Leaflet;;;;
521;알로에잎사귀;Aloe Leaflet;;;;
522;마스테라의열매;Mastela Fruit;;;;
523;성수;Holy Water;;;;
525;만능약;Panacea;;;;
526;로얄제리;Royal Jelly;;;;
528;괴물의먹이;Monster's Feed;;;;
529;사탕;Candy;;;;
530;막대사탕;Candy Cane;;;;
531;사과쥬스;Apple Juice;;;;
532;바나나쥬스;Banana Juice;;;;
533;포도쥬스;Grape Juice;;;;
534;당근쥬스;Carrot Juice;;;;
535;호박;Pumpkin;;;;
536;아이스크림;Ice Cream;;;;
537;괴물의먹이;Pet Food;;;;
538;잘구운쿠키;Well Baked Cookie;;;;
539;조각케이크;Piece of Cake;;;;
540;괴물의먹이;Falcon Food;;;;
541;괴물의먹이;PecoPeco Food;;;;
542;명절과자;Festive Cookie;;;;
543;명절무지개떡;Festive Rainbow Cake;;;;
544;회;Raw Fish;;;;
545;레드슬림포션;Red Slim Potion;;;;
546;옐로우슬림포션;Yellow Slim Potion;;;;
547;화이트슬림포션;White Slim Potion;;;;
548;치즈;Cheese;;;;
549;밤고구마;Yam;;;;
550;뻥튀기;Rice Cake;;;;
551;초밥;Sushi;;;;
552;KETUPAT;Ketupat;;;;
553;만두;Bao;;;;
554;모찌;Mochi;;;;
555;떡;Traditional Rice Cake;;;;
556;가래떡;Rice Cake Stick;;;;
557;썰린가래떡;Neatly Sliced Rice Cake;;;;
558;초콜렛;Chocolate;;;;
559;수제초콜렛;Hand-made Chocolate;;;;
560;수제초콜렛_;Handmade White Chocolate;;;;
561;화이트초콜렛;White Chocolate;;;;
562;피자;Doublecrust Swiss Fondue;;;;
563;피자;Doublecrust Swiss Fondue;;;;
564;주먹밥;Rice Ball;;;;
565;비타500병;Vita500;;;;
566;똠양꿍;Tom Yum Goong;;;;
567;새우;Shrimp;;;;
568;레몬;Lemon;;;;
569;빨간포션;Novice Potion;;;;
570;사탕;Lucky Candy;;;;
571;막대사탕;Lucky Candy Cane;;;;
572;잘구운쿠키;Lucky Cookie;;;;
573;초콜렛드링크;Chocolate Drink;;;;
574;알;Egg;;;;
575;조각케이크;2nd Anniversary Cake;;;;
576;가시열매;Prickly Fruit;;;;
577;곡식;Bag of Grain;;;;
578;딸기;Strawberry;;;;
579;맛좋은물고기;Fresh Fish;;;;
580;빵;Bread;;;;
581;식용버섯;Edible Mushroom;;;;
